text,label
Taxes Extra material,not_dish
Cold sport,not_dish
*,not_dish
Hot executive,not_dish
Hot sell,not_dish
Mutton Korma,dish
Add-ons Mrs,not_dish
Extra Cheese somebody,not_dish
Price Varies skin,not_dish
Cold energy,not_dish
Extra Cheese may,not_dish
Entry Restricted,not_dish
Fish Fry,dish
Butter Chicken,dish
Served Daily behavior,not_dish
No Onion modern,not_dish
Taxes Extra street,not_dish
Fish Fry,dish
Mutton Korma,dish
Call 9999999999,not_dish
Chef's Special task,not_dish
Served Daily foot,not_dish
Taxes Extra exist,not_dish
Combo Offer produce,not_dish
Sushi Roll,dish
Taxes Extra against,not_dish
Served Daily health,not_dish
Paneer Frankie,dish
Lamb Curry,dish
Add-ons development,not_dish
Dal Makhani,dish
Margherita Pizza,dish
Lamb Curry,dish
Margherita Pizza,dish
Hot rise,not_dish
Butter Chicken,dish
Spicy about,not_dish
Add-ons something,not_dish
No Onion when,not_dish
Hot focus,not_dish
Chicken Biryani,dish
Lamb Curry,dish
Taxes Extra more,not_dish
Khichdi,dish
Tandoori Roti,dish
Cold whether,not_dish
Add-ons perform,not_dish
Served Daily likely,not_dish
Taxes Extra organization,not_dish
Dal Makhani,dish
Page 2,not_dish
Lamb Curry,dish
Egg Curry,dish
Chef's Special almost,not_dish
Cold bring,not_dish
Taxes Extra society,not_dish
New Arrival also,not_dish
Spicy despite,not_dish
Dal Makhani,dish
Chicken Biryani,dish
Hot teach,not_dish
Pay Later,not_dish
Served Daily technology,not_dish
Fish Fry,dish
Mutton Korma,dish
Paneer Tikka,dish
Add-ons land,not_dish
Sushi Roll,dish
Hot really,not_dish
Tandoori Roti,dish
Sushi Roll,dish
Paneer Tikka,dish
Egg Bhurji Pav,dish
Hot anyone,not_dish
Served Daily free,not_dish
Serving Size reason,not_dish
Cold nation,not_dish
Butter Chicken,dish
Add-ons produce,not_dish
Hot quite,not_dish
Served Daily able,not_dish
Chicken Handi,dish
Mutton Korma,dish
Dal Makhani,dish
Served Daily heavy,not_dish
Fish Fry,dish
Taxes Extra say,not_dish
Tandoori Roti,dish
Cold western,not_dish
Sushi Roll,dish
Extra Cheese while,not_dish
Tandoori Roti,dish
Fish Fry,dish
Tandoori Roti,dish
Paneer Tikka,dish
Extra Cheese three,not_dish
Lamb Curry,dish
Mutton Korma,dish
Margherita Pizza,dish
Butter Chicken,dish
Serving Size although,not_dish
Chef's Special Mrs,not_dish
Butter Chicken,dish
Hot article,not_dish
Served Daily thousand,not_dish
Margherita Pizza,dish
Add-ons physical,not_dish
Combo Offer continue,not_dish
New Arrival respond,not_dish
Dal Makhani,dish
Butter Chicken,dish
Review Here,not_dish
Lamb Curry,dish
Served Daily camera,not_dish
Paneer Tikka,dish
New Arrival total,not_dish
Falooda,dish
Paneer Tikka,dish
Combo Offer better,not_dish
Cold here,not_dish
Cold he,not_dish
Mutton Korma,dish
Chef's Special part,not_dish
Dal Makhani,dish
Dal Makhani,dish
Fish Fry,dish
Margherita Pizza,dish
Dal Makhani,dish
Chicken Biryani,dish
Margherita Pizza,dish
Paneer Tikka,dish
Cold hope,not_dish
Chicken Biryani,dish
Hot third,not_dish
Dal Makhani,dish
Sushi Roll,dish
Fish Fry,dish
Extra Cheese soldier,not_dish
New Arrival government,not_dish
Serving Size present,not_dish
Dal Makhani,dish
Mutton Korma,dish
Shev Bhaji,dish
Besan Chilla,dish
Extra Cheese these,not_dish
Sushi Roll,dish
Chef's Special north,not_dish
Combo Offer size,not_dish
Lamb Curry,dish
Add-ons loss,not_dish
Margherita Pizza,dish
Taxes Extra environmental,not_dish
Margherita Pizza,dish
Lamb Curry,dish
Served Daily himself,not_dish
Pesto Pasta,dish
Butter Chicken,dish
Sushi Roll,dish
Spicy know,not_dish
Butter Chicken,dish
Tandoori Roti,dish
Tandoori Roti,dish
Combo Offer situation,not_dish
Spicy federal,not_dish
Mutton Korma,dish
Chicken Biryani,dish
No Onion shoulder,not_dish
Lamb Curry,dish
Margherita Pizza,dish
Mutton Korma,dish
Serving Size the,not_dish
Dal Makhani,dish
Margherita Pizza,dish
Fish Fry,dish
Margherita Pizza,dish
Spicy determine,not_dish
Combo Offer main,not_dish
Margherita Pizza,dish
Add-ons often,not_dish
Margherita Pizza,dish
Extra Cheese station,not_dish
Paneer Tikka,dish
Spicy travel,not_dish
Tandoori Roti,dish
Taxes Extra affect,not_dish
Tandoori Roti,dish
Lamb Curry,dish
Mutton Korma,dish
Bill Before Order,not_dish
Hot enter,not_dish
Chicken Biryani,dish
Spicy success,not_dish
Chicken Biryani,dish
Sushi Roll,dish
Sushi Roll,dish
Served Daily study,not_dish
Margherita Pizza,dish
Price Varies series,not_dish
Margherita Pizza,dish
Serving Size bit,not_dish
Butter Chicken,dish
Cold stage,not_dish
Serving Size federal,not_dish
Taxes Extra chance,not_dish
Lamb Curry,dish
Mutton Korma,dish
Extra Cheese official,not_dish
Fish Fry,dish
Add-ons role,not_dish
Lamb Curry,dish
Serving Size far,not_dish
Butter Chicken,dish
Mutton Korma,dish
Extra Cheese important,not_dish
Sushi Roll,dish
Lamb Curry,dish
Chef's Special popular,not_dish
Price Varies under,not_dish
Price Varies quite,not_dish
Dal Makhani,dish
Dal Makhani,dish
Margherita Pizza,dish
Sushi Roll,dish
Manager,not_dish
Dal Makhani,dish
Butter Chicken,dish
Paneer Tikka,dish
Add-ons ready,not_dish
Chicken Biryani,dish
Served Daily memory,not_dish
Rewards,not_dish
Dal Makhani,dish
Chicken Biryani,dish
Hot thus,not_dish
Chef's Special drive,not_dish
Sushi Roll,dish
Jalebi,dish
Cold exactly,not_dish
